Country,Player Name,Gold,Silver,Bronze,Total Medals
CHN,FENG Yu,1,0,0,1
CHN,HOU Zhihui,1,0,0,1
CHN,HUANG Ya Qiong,1,0,0,1
CHN,LI Yuehong,1,0,0,1
CHN,LI Fabin,1,0,0,1
CHN,JIA Yi Fan,1,0,0,1
CHN,LIAN Junjie,1,0,0,1
CHN,LI Wenwen,1,0,0,1
CHN,JI Bowen,1,0,0,1
CHN,LI Qian,1,0,0,1
CHN,SUN Mengya,1,0,0,1
CHN,LUO Shifang,1,0,0,1
CHN,SUN Jiajun,1,0,0,1
CHN,LONG Daoyi,1,0,0,1
CHN,LIU Hao,1,0,0,1
CHN,MA Long,1,0,0,1
CHN,LIU Huanhua,1,0,0,1
CHN,LIU Yukun,1,0,0,1
CHN,XIANG Binxuan,1,0,0,1
CHN,WANG Changhao,1,0,0,1
CHN,XIAO Yanning,1,0,0,1
CHN,WU Yu,1,0,0,1
CHN,WANG Manyu,1,0,0,1
CHN,WANG Ciyue,1,0,0,1
CHN,WANG Lanjing,1,0,0,1
CHN,ZHENG Si Wei,1,0,0,1
CHN,XIE Yu,1,0,0,1
CHN,ZHENG Qinwen,1,0,0,1
CHN,YANG Hao,1,0,0,1
CHN,YANG Jiayu,1,0,0,1
CHN,ZHANG Yayi,1,0,0,1
CHN,XU Shixiao,1,0,0,1
CHN,XIE Siyi,1,0,0,1
CZE,DOSTAL Josef,1,0,0,1
CRO,MATIC Barbara,1,0,0,1
CZE,FUKSA Martin,1,0,0,1
CUB,ALVAREZ BORGES Erislandy,1,0,0,1
CRO,SINKOVIC Valent,1,0,0,1
CUB,LOPEZ NUNEZ Mijain,1,0,0,1
CRO,SINKOVIC Martin,1,0,0,1
CZE,MACHAC Tomas,1,0,0,1
DEN,HALD Simon,1,0,0,1
CZE,SINIAKOVA Katerina,1,0,0,1
DEN,ARNOLDSEN Thomas,1,0,0,1
DEN,AXELSEN Viktor,1,0,0,1
DEN,GIDSEL Mathias,1,0,0,1
DEN,HANSEN Mikkel,1,0,0,1
DEN,ANDERSSON Lasse,1,0,0,1
DEN,JAKOBSEN Emil,1,0,0,1
DEN,JACOBSEN Niklas Landin,1,0,0,1
DEN,LAUGE Rasmus,1,0,0,1
DEN,LINDBERG Hans,1,0,0,1
DEN,JOERGENSEN Lukas,1,0,0,1
DEN,KIRKELOEKKE Niclas,1,0,0,1
DEN,MOELLGAARD Henrik,1,0,0,1
DEN,JACOBSEN Magnus Landin,1,0,0,1
DEN,NIELSEN Emil,1,0,0,1
DEN,PYTLICK Simon,1,0,0,1
DEN,SAUGSTRUP Magnus,1,0,0,1
EGY,ELGENDY Ahmed,1,0,0,1
ESP,BAENA Alex,1,0,0,1
DMA,LAFOND Thea,1,0,0,1
DOM,PAULINO Marileidy,1,0,0,1
ESP,CUBARSI Pau,1,0,0,1
ESP,DIAZ FORTUN Jordan Alejandro,1,0,0,1
ESP,BARRIOS Pablo,1,0,0,1
ESP,CAMELLO Sergio,1,0,0,1
ESP,BOTIN le CHEVER Diego,1,0,0,1
ESP,BERNABE Adrian,1,0,0,1
ESP,CAMUS Paula,1,0,0,1
ESP,CRESPI BARRIGA Paula,1,0,0,1
ESP,GARCIA GODOY Maica,1,0,0,1
ESP,GARCIA Eric,1,0,0,1
ESP,FORCA ARIZA Judith,1,0,0,1
ESP,ESPAR LLAQUET Anni,1,0,0,1
ESP,GARCIA Joan,1,0,0,1
ESP,ESTER RAMOS Laura,1,0,0,1
ESP,GOMEZ Sergio,1,0,0,1
ESP,ITURBE Alejandro,1,0,0,1
ESP,MIRANDA Juan,1,0,0,1
ESP,OMORODION Samu,1,0,0,1
ESP,LOPEZ Diego,1,0,0,1
ESP,GUTIERREZ Miguel,1,0,0,1
ESP,LOPEZ Fermin,1,0,0,1
ESP,MOSQUERA Cristhian,1,0,0,1
ESP,LEITON ARRONES Paula,1,0,0,1
ESP,PEREZ VIVAS Nona,1,0,0,1
ESP,PENA Pili,1,0,0,1
ESP,ORTIZ Bea,1,0,0,1
ESP,PUBILL Marc,1,0,0,1
ESP,PACHECO Jon,1,0,0,1
ESP,PIRALKOVA COELLO Isabel,1,0,0,1
ESP,OROZ Aimar,1,0,0,1
ESP,SANCHEZ Juanlu,1,0,0,1
ESP,TRITTEL PAUL Florian,1,0,0,1
ETH,TOLA Tamirat,1,0,0,1
ESP,RUIZ Abel,1,0,0,1
ESP,TENAS Arnau,1,0,0,1
ESP,RUIZ BARRIL Elena,1,0,0,1
ESP,TURRIENTES Benat,1,0,0,1
ESP,TERRE Martina,1,0,0,1
FRA,DIESSE Aurelien,1,0,0,1
FRA,CHINENYEZE Barthelemy,1,0,0,1
FRA,BARRAQUE Jean Pascal,1,0,0,1
FRA,BEAUGRAND Cassandre,1,0,0,1
FRA,APITHY-BRUNET Manon,1,0,0,1
FRA,DAUDET Joris,1,0,0,1
FRA,CLEVENOT Trevor,1,0,0,1
FRA,BRIZARD Antoine,1,0,0,1
FRA,FORNER Theo,1,0,0,1
FRA,GAHIE Marie Eve,1,0,0,1
FRA,DUPONT Antoine,1,0,0,1
FRA,EPEE Nelson,1,0,0,1
FRA,FERRAND PREVOT Pauline,1,0,0,1
FRA,DJALO Alpha Oumar,1,0,0,1
FRA,FAURE Theo,1,0,0,1
FRA,GESTIN Nicolas,1,0,0,1
FRA,LAURIN Althea,1,0,0,1
FRA,JOSEPH Jefferson-Lee,1,0,0,1
FRA,JOUFFROY Quentin,1,0,0,1
FRA,GRANDIDIER NKANANG Aaron,1,0,0,1
FRA,le GOFF Nicolas,1,0,0,1
FRA,GREBENNIKOV Jenia,1,0,0,1
FRA,KHYAR Walide,1,0,0,1
FRA,PAREZ EDO MARTIN Stephen,1,0,0,1
FRA,NGAPETH Earvin,1,0,0,1
FRA,LOUATI Yacine,1,0,0,1
FRA,PATRY Jean,1,0,0,1
FRA,PASQUET Varian,1,0,0,1
FRA,MALONGA Madeleine,1,0,0,1
FRA,REBBADJ Rayan,1,0,0,1
FRA,THOMAS Benjamin,1,0,0,1
FRA,RIVA Paulin,1,0,0,1
FRA,TIMO Andy,1,0,0,1
FRA,SEPHO Jordan,1,0,0,1
FRA,TONIUTTI Benjamin,1,0,0,1
FRA,ZEGHDAR Antoine,1,0,0,1
FRA,TILLIE Kevin,1,0,0,1
FRA,VAAST Kauli,1,0,0,1
GBR,BIRD Kieran,1,0,0,1
GBR,BOLDING Morgan,1,0,0,1
GBR,ANDERSON Lola,1,0,0,1
GBR,BRASH Scott,1,0,0,1
GBR,BRAYSHAW Georgina,1,0,0,1
GBR,BRIGHTMORE Harry,1,0,0,1
GBR,ALDRIDGE Eleanor,1,0,0,1
GBR,DIGBY Tom,1,0,0,1
GBR,DEAN Tom,1,0,0,1
GBR,CANTER Rosalind,1,0,0,1
GBR,CHARLES Harry,1,0,0,1
GBR,CARNEGIE Sholto,1,0,0,1
GBR,CRAIG Emily,1,0,0,1
GBR,CAPEWELL Sophie,1,0,0,1
GBR,DAWSON Jacob,1,0,0,1
GBR,ELWES Charles,1,0,0,1
GBR,GIBBS Rory,1,0,0,1
GBR,HALES Nathan,1,0,0,1
GBR,HODGKINSON Keely,1,0,0,1
GBR,FORD Tom,1,0,0,1
GBR,GUY James,1,0,0,1
GBR,HENRY Lauren,1,0,0,1
GBR,GRANT Imogen,1,0,0,1
GBR,MAHER Ben,1,0,0,1
GBR,PIDCOCK Thomas,1,0,0,1
GBR,ROBERTS Toby,1,0,0,1
GBR,MARCHANT Katy,1,0,0,1
GBR,McEWEN Tom,1,0,0,1
GBR,McMILLAN Jack,1,0,0,1
GBR,PAGE Bryony,1,0,0,1
GER,BRUNCKHORST Svenja,1,0,0,1
GBR,SCOTT Hannah,1,0,0,1
GEO,BEKAURI Lasha,1,0,0,1
GEO,PETRIASHVILI Geno,1,0,0,1
GER,GREINACHER Sonja,1,0,0,1
GER,HELLWIG Tim,1,0,0,1
GEO,TALAKHADZE Lasha,1,0,0,1
GBR,RUDKIN James,1,0,0,1
GER,MAERTENS Lukas,1,0,0,1
GER,LUEHRS Lasse,1,0,0,1
GER,JUNG Michael,1,0,0,1
GER,LINDEMANN Laura,1,0,0,1
GER,KUKUK Christian,1,0,0,1
GER,MEVIUS Elisa,1,0,0,1
GER,LIEBSCHER-LUCZ Tom,1,0,0,1
GRE,TENTOGLOU Miltiadis,1,0,0,1
