Country,Player Name,Gold,Silver,Bronze,Total Medals
NZL,MACLEAN Ollie,0,1,0,1
NZL,McHARDIE Isaac,0,1,0,1
NZL,TWIGG Emma,0,1,0,1
POL,BIENIEK Mateusz,0,1,0,1
POL,BOLADZ Bartlomiej,0,1,0,1
PAN,BYLON Atheyna Bibeichi,0,1,0,1
NZL,WESCHE Maddison-Lee,0,1,0,1
NZL,ULLRICH Logan,0,1,0,1
NZL,WILDE Hayden,0,1,0,1
NZL,SHIELDS Nicole,0,1,0,1
POL,FORNAL Tomasz,0,1,0,1
POL,KUREK Bartosz,0,1,0,1
POL,LOMACZ Grzegorz,0,1,0,1
POL,KACZMAREK Lukasz,0,1,0,1
POL,LEON VENERO Wilfredo,0,1,0,1
POL,HUBER Norbert,0,1,0,1
POL,JANUSZ Marcin,0,1,0,1
POL,KOCHANOWSKI Jakub,0,1,0,1
POL,SEMENIUK Kamil,0,1,0,1
POL,SLIWKA Aleksander,0,1,0,1
POL,SZEREMETA Julia,0,1,0,1
POL,ZATORSKI Pawel,0,1,0,1
POL,PIKULIK Daria,0,1,0,1
POR,PICHARDO Pedro,0,1,0,1
POL,ZWOLINSKA Klaudia,0,1,0,1
ROU,van GRONINGEN Gianina Elena,0,1,0,1
RSA,MASWANGANYI Shaun,0,1,0,1
PRK,JO Jin Mi,0,1,0,1
PRK,RI Jong Sik,0,1,0,1
PRK,KIM Kum Yong,0,1,0,1
ROU,CAMBEI Mihaela Valentina,0,1,0,1
RSA,NKOANA Bradley,0,1,0,1
ROU,COZMIUC Ionela Livia,0,1,0,1
SRB,PERISIC Aleksandra,0,1,0,1
RSA,van DYK Jo-Ane,0,1,0,1
SLO,VODISEK Toni,0,1,0,1
SUI,DERRON Julie,0,1,0,1
RSA,WALAZA Bayanda,0,1,0,1
RSA,SIMBINE Akani,0,1,0,1
SUI,GUERDAT Steve,0,1,0,1
SWE,KARLSSON Kristian,0,1,0,1
THA,SILACHAI Theerapong,0,1,0,1
SWE,LINDGREN Victor,0,1,0,1
THA,VITIDSARN Kunlavut,0,1,0,1
SWE,BOBECK Vilma,0,1,0,1
THA,WICHUMA Weeraphon,0,1,0,1
SWE,KALLBERG Anton,0,1,0,1
SWE,NETZLER Rebecca,0,1,0,1
TUR,DIKEC Yusuf,0,1,0,1
TUR,TARHAN Sevval Ilayda,0,1,0,1
UGA,CHEMUTAI Peruth,0,1,0,1
TUR,AKBAS Hatice,0,1,0,1
TUN,FERJANI Fares,0,1,0,1
TUR,CAKIROGLU Buse Naz,0,1,0,1
UKR,KOLIADENKO Iryna,0,1,0,1
USA,ALVAREZ Anita,0,1,0,1
UKR,NASIBOV Parviz,0,1,0,1
UKR,KOVTUN Illia,0,1,0,1
USA,BACON Sarah,0,1,0,1
UKR,RYBACHOK Anastasiia,0,1,0,1
USA,BATTEN Haley,0,1,0,1
UKR,KULISH Serhiy,0,1,0,1
UKR,LUZAN Liudmyla,0,1,0,1
USA,BENEGAS Perris,0,1,0,1
USA,CARLINI Lauren,0,1,0,1
USA,COOK Karl,0,1,0,1
USA,BLADES Kennedy Alexis,0,1,0,1
USA,COCKRELL Anna,0,1,0,1
USA,BEDNAREK Kenneth,0,1,0,1
USA,CONNOLLY Erika,0,1,0,1
USA,COOK Kassidy,0,1,0,1
USA,CURRY Brooks,0,1,0,1
USA,FIELD Megumi,0,1,0,1
USA,ECHIKUNWOKE Annette Nneka,0,1,0,1
USA,CZARKOWSKI Jaime,0,1,0,1
USA,DREWS Andrea,0,1,0,1
USA,GEMMELL Erin,0,1,0,1
USA,EATON Jagger,0,1,0,1
USA,KIBLER Drew,0,1,0,1
USA,KNIBB Taylor,0,1,0,1
USA,HEILMAN Thomas,0,1,0,1
USA,HUNTER Keana,0,1,0,1
USA,HARRISON Nevin,0,1,0,1
USA,KENDRICKS Sam,0,1,0,1
USA,HANCOCK Micha,0,1,0,1
USA,GRIMES Katie,0,1,0,1
USA,KWON Audrey,0,1,0,1
USA,LEE Spencer Richard,0,1,0,1
USA,KRAUT Laura,0,1,0,1
USA,KOVACS Joe,0,1,0,1
USA,KRAJICEK Austin,0,1,0,1
USA,LARSON Jordan,0,1,0,1
USA,LIU Calista,0,1,0,1
USA,OGBOGU Chiaka,0,1,0,1
USA,LUU Jacklyn,0,1,0,1
USA,PEPLOWSKI Anna,0,1,0,1
USA,MOON Katie,0,1,0,1
USA,MADDALENA Sagen,0,1,0,1
USA,McEWEN Shelby,0,1,0,1
USA,PEARSON Morgan,0,1,0,1
USA,PIERONI Blake,0,1,0,1
USA,RABOUTOU Brooke,0,1,0,1
USA,PLUMMER Kathryn,0,1,0,1
USA,POULTER Jordyn,0,1,0,1
USA,RAMIREZ Daniella,0,1,0,1
USA,RAM Rajeev,0,1,0,1
USA,REMATI Ruby,0,1,0,1
USA,PRINCE Conner Lynn,0,1,0,1
USA,RIDER Seth,0,1,0,1
USA,RETTKE Dana,0,1,0,1
USA,ROBINSON Kelsey,0,1,0,1
USA,SKINNER Avery,0,1,0,1
USA,SCHAAR Tom,0,1,0,1
USA,ROBERTS Daniel,0,1,0,1
USA,SMITH Kieran,0,1,0,1
USA,ROOKS Kenneth,0,1,0,1
USA,WEINSTEIN Claire,0,1,0,1
USA,SPIVEY Taylor,0,1,0,1
UZB,OSIPOVA Svetlana,0,1,0,1
USA,WARD McLain,0,1,0,1
USA,WONG-ORANTES Justine,0,1,0,1
USA,WASHINGTON Haleigh,0,1,0,1
USA,THOMPSON Jordan,0,1,0,1
UZB,DJURAEV Akbar,0,1,0,1
ARG,ALBERTARRIO Agustina,0,0,1,1
ALB,DUDAEV Islam,0,0,1,1
AIN,TSIKHANTSOU Yauheni,0,0,1,1
ARG,CAIRO Sofia,0,0,1,1
ARG,ALONSO Agostina,0,0,1,1
ALB,VALIEV Chermen,0,0,1,1
ALG,SEDJATI Djamel,0,0,1,1
ARG,GORZELANY Agustina,0,0,1,1
ARG,CAMPOY Maria,0,0,1,1
ARG,COSENTINO Cristina,0,0,1,1
ARG,GRANATTO Maria,0,0,1,1
ARG,JANKUNAS Julieta,0,0,1,1
ARG,DIAZ de ARMAS Zoe,0,0,1,1
ARG,CASTELLARO MORELLO Juana,0,0,1,1
ARG,CASAS Lara,0,0,1,1
ARG,RAPOSO RUIZ de los LLANOS Valentina,0,0,1,1
ARG,SAUZE VALDEZ Victoria,0,0,1,1
ARM,AMOYAN Malkhas,0,0,1,1
ARG,SANCHEZ MOCCIA Rocio,0,0,1,1
ARG,TOCCALINO Sofia,0,0,1,1
ARG,TRINCHINETTI Eugenia,0,0,1,1
AUS,ATWELL Amy,0,0,1,1
AUS,DIEHM Natalya,0,0,1,1
AUS,COWLEY Rhydian,0,0,1,1
AUS,BORLASE Isobel,0,0,1,1
AUS,GIULIANI Maximillian,0,0,1,1
AUS,DENNY Matthew,0,0,1,1
AUS,GREEN Tom,0,0,1,1
AUS,GEORGE Cayla,0,0,1,1
AUS,HOFFMAN Leigh,0,0,1,1
AUS,McINTYRE Annabelle,0,0,1,1
AUS,MELBOURNE Jade,0,0,1,1
AUS,JACKSON Lauren,0,0,1,1
AUS,MORRISON Jess,0,0,1,1
AUS,MAGBEGOR Ezi,0,0,1,1
AUS,MADGEN Tess,0,0,1,1
AUS,INCERTI Zac,0,0,1,1
AUS,SMITH Penny,0,0,1,1
AUS,SENIOR Charlie,0,0,1,1
AUS,NEILL Thomas,0,0,1,1
AUS,TEMPLE Matthew,0,0,1,1
AUS,PATTERSON Eleanor,0,0,1,1
AUS,TALBOT Steph,0,0,1,1
AUS,SMITH Alanna,0,0,1,1
AUS,PARKER Caitlin,0,0,1,1
AUS,WALLACE Kristy,0,0,1,1
AUS,YONG Joshua,0,0,1,1
AUT,PILZ Jessica,0,0,1,1
AUS,TOLO Marianna,0,0,1,1
AUS,WHITCOMB Sami,0,0,1,1
AUT,SCHUBERT Jakob,0,0,1,1
AUT,POLLERES Michaela,0,0,1,1
AUS,van der WESTHUYZEN Jean,0,0,1,1
BEL,CHAARI Sarah,0,0,1,1
AZE,JAFAROV Hasrat,0,0,1,1
AZE,MESHVILDISHVILI Giorgi,0,0,1,1
AZE,MAGOMEDOV Magomedkhan,0,0,1,1
BEL,van den BOSSCHE Fabio,0,0,1,1
BEL,KOPECKY Lotte,0,0,1,1
BEL,van AERT Wout,0,0,1,1
BRA,BERGMANN Julia Isabelle,0,0,1,1
BRA,ARAUJO Natalia,0,0,1,1
BRA,AKIO Augusto,0,0,1,1
BRA,BARBOSA Jade,0,0,1,1
BRA,ALEXANDRE COSTA NUNES Nyeme Victor.,0,0,1,1
BEL,VIDTS Noor,0,0,1,1
BRA,BRAGA GUIMARAES Gabriela,0,0,1,1
BEL,WILLEMS Gabriella,0,0,1,1
BRA,DAHER de MENEZES Thaisa,0,0,1,1
BRA,GERALDO TEIXEIRA Lorenne,0,0,1,1
BRA,CARGNIN Daniel,0,0,1,1
BRA,da SILVA Ana Carolina,0,0,1,1
BRA,dos SANTOS Alison,0,0,1,1
BRA,DUARTE ALECRIM Diana,0,0,1,1
BRA,GONCALVES Leonardo,0,0,1,1
BRA,OLIVEIRA Lorrane,0,0,1,1
BRA,MONTIBELLER Rosamaria,0,0,1,1
BRA,LEMES SANTOS Tainara,0,0,1,1
BRA,MENEZES OLIVEIRA de SOUZA Ana Cris.,0,0,1,1
BRA,MEDINA Gabriel,0,0,1,1
BRA,MACEDO Rafael,0,0,1,1
BRA,LEAL Rayssa,0,0,1,1
BRA,PONTES Edival,0,0,1,1
BRA,QUADROS Ketleyn,0,0,1,1
BRA,SARAIVA Flavia,0,0,1,1
BRA,SILVA CARNEIRO Macris Fernanda,0,0,1,1
BRA,SCHIMIDT Guilherme,0,0,1,1
BRA,SILVA Rafaela,0,0,1,1
BRA,RATZKE Roberta Silva,0,0,1,1
BRA,SOARES FERREIRA Beatriz Iasmin,0,0,1,1
BRA,SILVA Rafael,0,0,1,1
BUL,KIMIA Alizadeh,0,0,1,1
CAN,DABROWSKI Gabriela,0,0,1,1
BUL,ANDREEV Bozhidar Dimitrov,0,0,1,1
BRN,MINASYAN Gor,0,0,1,1
CAN,AUGER-ALIASSIME Felix,0,0,1,1
BUL,IBANEZ DIAZ Javier,0,0,1,1
BRA,SOARES Julia,0,0,1,1
CAN,WIENS Rylan,0,0,1,1
CAN,HARVEY Eleanor,0,0,1,1
CAN,MASSE Kylie,0,0,1,1
CAN,MACKENZIE Sloan,0,0,1,1
CAN,METHOT Sophiane,0,0,1,1
CAN,SANFORD Wyatt,0,0,1,1
CAN,NEWMAN Alysha,0,0,1,1
CAN,PARK Skylar,0,0,1,1
CHN,671,0,0,1,1
CAN,ZSOMBOR-MURRAY Nathan,0,0,1,1
CHN,CHENG Yujie,0,0,1,1
CHN,JIANG Yiting,0,0,1,1
CHN,FENG Ziqi,0,0,1,1
CHN,HONG Kexin,0,0,1,1
CHN,GE Chutong,0,0,1,1
CHN,LI Bingjie,0,0,1,1
CHN,LYU Jianlin,0,0,1,1
CHN,MENG Lingzhe,0,0,1,1
CHN,MA Zhenzhao,0,0,1,1
CHN,LIN Xiyu Janet,0,0,1,1
CHN,LIANG Yushuai,0,0,1,1
CHN,KONG Yaqi,0,0,1,1
CHN,LIU Yaxin,0,0,1,1
CHN,WANG Xinjie,0,0,1,1
CHN,TANG Muhan,0,0,1,1
CHN,WANG Xueer,0,0,1,1
CHN,SONG Jiayuan,0,0,1,1
CHN,WAN Letian,0,0,1,1
CHN,PANG Qianyu,0,0,1,1
CHN,WANG Shun,0,0,1,1
CRO,ELKASEVIC Sandra,0,0,1,1
CHN,ZHANG Qiongyue,0,0,1,1
CHN,YAN Langyu,0,0,1,1
CIV,CISSE Cheick Sallah,0,0,1,1
CPV,de PINA David,0,0,1,1
CHN,ZHAO Jie,0,0,1,1
COL,RENTERIA RENTERIA Tatiana,0,0,1,1
CRO,MARICIC Miran,0,0,1,1
CZE,BERAN Jiri,0,0,1,1
CUB,ROSILLO KINDELAN Gabriel Alejandro,0,0,1,1
CUB,MARIN POTRILLE Milaimy de la Carid.,0,0,1,1
CUB,ALBA Rafael,0,0,1,1
CRO,STOJKOVIC Lena,0,0,1,1
CUB,LOPEZ CARDONA Arlen,0,0,1,1
CUB,ORTA SANCHEZ Luis Alberto,0,0,1,1
CUB,CIRILO DUBOYS Yarisleidis,0,0,1,1
CZE,RUBES Martin,0,0,1,1
DEN,ELVER Helena,0,0,1,1
CZE,CUPR Michal,0,0,1,1
DEN,BISULTANOV Turpal Ali,0,0,1,1
CZE,JURKA Jakub,0,0,1,1
CZE,OGRODNIKOVA Nikola,0,0,1,1
DEN,AABERG IVERSEN Sarah,0,0,1,1
DEN,HRNIC Edi,0,0,1,1
DEN,FRIIS Emma,0,0,1,1
DEN,IVERSEN Rikke,0,0,1,1
DEN,HANSEN Anne Mette,0,0,1,1
DEN,HOEJLUND Mie,0,0,1,1
DEN,JOERGENSEN Kristina,0,0,1,1
DEN,HAUGSTED Line,0,0,1,1
DEN,HEINDAHL Kathrine,0,0,1,1
DEN,TOFT Sandra,0,0,1,1
DEN,MOELLER Michala,0,0,1,1
DEN,LARSEN Niklas,0,0,1,1
DEN,JORGENSEN Emma Aastrand,0,0,1,1
DEN,MOERKOEV Michael,0,0,1,1
DEN,REINHARDT Althea,0,0,1,1
DEN,OESTERGAARD Trine,0,0,1,1
DEN,TRANBORG Mette,0,0,1,1
DOM,ALCANTARA REYES Yunior,0,0,1,1
EGY,ELSAYED Mohamed,0,0,1,1
ECU,PALACIOS DAJOMES Angie Paola,0,0,1,1
ECU,DAJOMES BARRERA Neisi Patricia,0,0,1,1
DOM,PINALES Cristian Javier,0,0,1,1
EOR,DJANKEU NGAMBA Cindy Winner,0,0,1,1
DEN,VINTER BURGAARD Louise,0,0,1,1
ESP,AREVALO Carlos,0,0,1,1
ESP,CORRALES Rodrigo,0,0,1,1
ESP,CASADO Agustin,0,0,1,1
ESP,CRAVIOTTO Saul,0,0,1,1
ESP,COOPER Marcus,0,0,1,1
ESP,DOMINGUEZ Diego,0,0,1,1
ESP,BUCSA Cristina,0,0,1,1
ESP,FERNANDEZ Daniel,0,0,1,1
ESP,DUJSHEBAEV Daniel,0,0,1,1
ESP,ECHANIZ Pau,0,0,1,1
ESP,FIGUERAS Adrian,0,0,1,1
ESP,FERRE GASET Txell,0,0,1,1
ESP,DUJSHEBAEV Alex,0,0,1,1
ESP,GARCIANDIA Imanol,0,0,1,1
ESP,GARCIA POLO Marina,0,0,1,1
ESP,LLUIS VALETTE Lilou,0,0,1,1
ESP,GERMADE Rodrigo,0,0,1,1
ESP,MORENO Joan Antoni,0,0,1,1
ESP,GARRIGOS Francisco,0,0,1,1
ESP,MAQUEDA Jorge,0,0,1,1
ESP,ODRIOZOLA Kauldi,0,0,1,1
ESP,GOMEZ Aleix,0,0,1,1
ESP,MAS PUJADAS Meritxell,0,0,1,1
ESP,REYES PLA Enmanuel,0,0,1,1
ESP,SANCHEZ-MIGALLON Miguel,0,0,1,1
ESP,RAMIREZ IBANEZ Paula,0,0,1,1
ESP,SALDANA LOPEZ Sara,0,0,1,1
ESP,OZHOGINA OZHOGIN Alisa,0,0,1,1
ESP,RODRIGUEZ Javier,0,0,1,1
ESP,PEREZ de VARGAS Gonzalo,0,0,1,1
FRA,ABOUDOU MOINDZE Djamili-Dini,0,0,1,1
ESP,TOLEDANO LAUT Blanca,0,0,1,1
FRA,APITHY Bolade,0,0,1,1
FRA,BARBELIN Lisa,0,0,1,1
ESP,SERDIO Abel,0,0,1,1
ESP,SORRIBES TORMO Sara,0,0,1,1
ESP,TIO CASAS Iris,0,0,1,1
ESP,TARRAFETA Ian,0,0,1,1
FRA,CHASTANET Maximilien,0,0,1,1
FRA,DEFAY Johanne,0,0,1,1
FRA,DELESTRE Simon,0,0,1,1
FRA,EPAILLARD Julien,0,0,1,1
FRA,FENTE--DAMERS Rafael,0,0,1,1
FRA,GAUZY Simon,0,0,1,1
FRA,BERGERE Leo,0,0,1,1
FRA,MERTINE Julien,0,0,1,1
FRA,LAPORTE Christophe,0,0,1,1
FRA,MAHIEU Romain,0,0,1,1
FRA,GROUSSET Maxime,0,0,1,1
FRA,JEANJEAN Anthony,0,0,1,1
FRA,LEFORT Enzo,0,0,1,1
FRA,LEBRUN Alexis,0,0,1,1
FRA,NDOYE-BROUARD Yohann,0,0,1,1
FRA,PATRICE Jean-Philippe,0,0,1,1
FRA,RAVET Cyrian,0,0,1,1
FRA,PERREAU Olivier,0,0,1,1
FRA,PICON Charline,0,0,1,1
FRA,PIANFETTI Maxime,0,0,1,1
FRA,PATRICE Sebastien,0,0,1,1
FRA,PAUTY Maxime,0,0,1,1
GBR,AMBLER David,0,0,1,1
GBR,ALDRIDGE Matt,0,0,1,1
GBR,AZU Jeremiah,0,0,1,1
FRA,STEYAERT Sarah,0,0,1,1
GBR,CAMPBELL Emily,0,0,1,1
GBR,BELL Georgia,0,0,1,1
FRA,SECCHI Clement,0,0,1,1
GBR,BROWN Sky,0,0,1,1
GBR,DICKINSON Samuel,0,0,1,1
GBR,DAVIDSON Freddie,0,0,1,1
GBR,DUNFORD Holly,0,0,1,1
GBR,CAMPBELL-ORDE Annie,0,0,1,1
GBR,FORD Emily,0,0,1,1
GBR,DOBSON Charles,0,0,1,1
GBR,DAVEY Lewis,0,0,1,1
GBR,FIELDMAN Henry,0,0,1,1
GBR,HARPER Yasmin,0,0,1,1
GBR,HODGKINS BYRNE Mathilda,0,0,1,1
GBR,HARRIES Toby,0,0,1,1
GBR,HESTER Carl,0,0,1,1
GBR,HARDING Anthony,0,0,1,1
GBR,HEPWORTH Harry,0,0,1,1
GBR,HINCHLIFFE Louie,0,0,1,1
GBR,JOHN Yemi Mary,0,0,1,1
GBR,HUGHES Zharnel,0,0,1,1
GBR,LAUGHER Jack,0,0,1,1
GBR,IRWIN Lauren,0,0,1,1
GBR,KILTY Richard,0,0,1,1
GBR,JARMAN Jake,0,0,1,1
GBR,KNIGHT Josie,0,0,1,1
GBR,KELLY Hannah,0,0,1,1
GBR,MOODY Becky,0,0,1,1
GBR,LONG Heidi,0,0,1,1
GBR,MEW JENSEN Scarlett,0,0,1,1
GBR,MORRIS Anna,0,0,1,1
GBR,MITCHELL-BLAKE Nethaneel,0,0,1,1
GBR,NIELSEN Lina,0,0,1,1
GBR,McKELLAR Rowan,0,0,1,1
GBR,OHURUOGU Victoria,0,0,1,1
GBR,TAYLOR Harriet,0,0,1,1
GBR,STEWART Eve,0,0,1,1
GBR,TOULSON Lois,0,0,1,1
GBR,ROBERTS Jessica,0,0,1,1
GBR,RICHARDSON Lewis,0,0,1,1
GBR,TAYLOR-BROWN Georgia,0,0,1,1
GBR,SPENDOLINI SIRIEIX Andrea,0,0,1,1
GBR,WILSON Emma,0,0,1,1
GER,BERGER Ann-Katrin,0,0,1,1
GEO,GURULI Lasha,0,0,1,1
GBR,WILLIAMS Jodie,0,0,1,1
GER,ANYOMI Nicole,0,0,1,1
GBR,WILKES Oliver,0,0,1,1
GBR,WILDE Rebecca,0,0,1,1
GER,GOSE Isabel,0,0,1,1
GER,BUEHL Klara,0,0,1,1
GER,BRAND Jule,0,0,1,1
GER,FREIGANG Laura,0,0,1,1
GER,DOORSOUN Sara,0,0,1,1
GER,BURGHARDT Alexandra,0,0,1,1
GER,FROHMS Merle,0,0,1,1
GER,ENDEMANN Vivien,0,0,1,1
GER,GREITEN Pia,0,0,1,1
GER,HAASE Rebekka,0,0,1,1
GER,HEGGE Noah,0,0,1,1
GER,HENDRICH Kathrin,0,0,1,1
GER,HINZE Emma,0,0,1,1
GER,HEGERING Marina,0,0,1,1
GER,GRABOSCH Pauline,0,0,1,1
GER,GWINN Giulia,0,0,1,1
GER,MAYER Lisa,0,0,1,1
GER,JUNK Sophia,0,0,1,1
GER,LUECKENKEMPER Gina,0,0,1,1
GER,LINDER Sarai,0,0,1,1
GER,MENZEL Leonie,0,0,1,1
GER,MINGE Janina,0,0,1,1
GER,LOHMANN Sydney,0,0,1,1
GER,SCHULZE SOLANO Bibiane,0,0,1,1
GER,POPP Alexandra,0,0,1,1
GER,SCHENDEKEHL Tabea,0,0,1,1
GER,RAUCH Felicitas,0,0,1,1
GER,TIAFACK Nelvie Raman,0,0,1,1
GER,NUESKEN Sjoeke,0,0,1,1
GER,SCHUELLER Lea,0,0,1,1
GER,SENSS Elisa,0,0,1,1
GRE,KURUGLIEV Dauren,0,0,1,1
GRE,FITSIOU Zoi,0,0,1,1
GRE,PAPAKONSTANTINOU Antonios,0,0,1,1
GRE,KARALIS Emmanouil,0,0,1,1
GRE,KONTOU Dimitra,0,0,1,1
GER,VOELZ Maren,0,0,1,1
GRE,GKAIDATZIS Petros,0,0,1,1
HUN,KOPASZ Balint,0,0,1,1
HUN,BETLEHEM David,0,0,1,1
GUA,BROL CARDENAS Jean Pierre,0,0,1,1
GRE,TSELIDIS Theodoros,0,0,1,1
GRN,PETERS Anderson,0,0,1,1
GRN,VICTOR Lindon,0,0,1,1
GRE,PETROUNIAS Eleftherios,0,0,1,1
HUN,MAJOR Veronika,0,0,1,1
INA,TUNJUNG Gregoria Mariska,0,0,1,1
IND,AMAN Aman,0,0,1,1
IND,ABHISHEK Abhishek,0,0,1,1
IND,KUSALE Swapnil,0,0,1,1
IND,PRASAD Vivek Sagar,0,0,1,1
IND,PARATTU RAVEENDRAN Sreejesh,0,0,1,1
HUN,MUHARI Eszter,0,0,1,1
IND,PAL Raj Kumar,0,0,1,1
IND,SINGH Mandeep,0,0,1,1
IND,SANJAY Sanjay,0,0,1,1
IND,SINGH Hardik,0,0,1,1
IND,SINGH Jarmanpreet,0,0,1,1
IND,SINGH Harmanpreet,0,0,1,1
IND,ROHIDAS Amit,0,0,1,1
IND,SINGH Gurjant,0,0,1,1
IND,SUMIT Sumit,0,0,1,1
IND,SINGH Sukhjeet,0,0,1,1
IRI,AZARPIRA Amirali,0,0,1,1
IND,SINGH Shamsher,0,0,1,1
IND,SINGH Manpreet,0,0,1,1
IND,UPADHYAY Lalit Kumar,0,0,1,1
IRI,MIRZAZADEH Amin,0,0,1,1
IND,SINGH Sarabjot,0,0,1,1
IRL,Mc SHARRY Mona,0,0,1,1
ITA,CENTOFANTI Martina,0,0,1,1
IRL,LYNCH Daire,0,0,1,1
IRI,NEMATZADEH Mobina,0,0,1,1
ISR,PALTCHIK Peter,0,0,1,1
ITA,ALESSIO Simone,0,0,1,1
IRL,DOYLE Philip,0,0,1,1
ITA,DEPLANO Leonardo,0,0,1,1
ITA,DURANTI Agnese,0,0,1,1
ITA,MALAN Giorgio,0,0,1,1
ITA,DIAZ HERNANDEZ Andy,0,0,1,1
ITA,CONTE BONIN Paolo,0,0,1,1
ITA,FURLANI Mattia,0,0,1,1
ITA,LAMON Francesco,0,0,1,1
ITA,FRIGO Manuel,0,0,1,1
ITA,PARIS Laura,0,0,1,1
ITA,MONNA Paolo,0,0,1,1
ITA,MOGUREAN Daniela,0,0,1,1
ITA,MUSETTI Lorenzo,0,0,1,1
ITA,MAURELLI Alessia,0,0,1,1
ITA,MIRESSI Alessandro,0,0,1,1
ITA,MILAN Jonathan,0,0,1,1
ITA,RAFFAELI Sofia,0,0,1,1
ITA,PIZZOLATO Antonino,0,0,1,1
JAM,BROADBELL Rasheed,0,0,1,1
ITA,ZAZZERI Lorenzo,0,0,1,1
ITA,TADDEUCCI Ginevra,0,0,1,1
ITA,SAMELE Luigi,0,0,1,1
JAM,CAMPBELL Rajindra,0,0,1,1
JPN,AZUMA Sera,0,0,1,1
JPN,KITAJIMA Ryuzo,0,0,1,1
JPN,MATSUYAMA Nami,0,0,1,1
JPN,HIGASHINO Arisa,0,0,1,1
JPN,MATSUYAMA Hideki,0,0,1,1
JPN,KIKUCHI Komaki,0,0,1,1
JPN,FUKUSHIMA Shihomi,0,0,1,1
JPN,EMURA Misaki,0,0,1,1
JPN,MIYAWAKI Karin,0,0,1,1
JPN,SHIDA Chiharu,0,0,1,1
JPN,OIWA Yoshiaki,0,0,1,1
JPN,OZAKI Seri,0,0,1,1
JPN,SUSAKI Yui,0,0,1,1
JPN,TAKASHIMA Risa,0,0,1,1
JPN,TANAKA Toshiyuki,0,0,1,1
JPN,OZAKI Nonoka,0,0,1,1
KAZ,SATPAYEV Islam,0,0,1,1
KAZ,KYZAIBAY Nazym,0,0,1,1
KAZ,LE Alexandra,0,0,1,1
KAZ,KYRGYZBAYEV Gusman,0,0,1,1
JPN,UENO Yuka,0,0,1,1
KEN,CHEROTICH Faith,0,0,1,1
JPN,WATANABE Yuta,0,0,1,1
JPN,TOMOTO Kazuma,0,0,1,1
KGZ,DZHUZUPBEKOV Uzur,0,0,1,1
KEN,KIPRUTO Benson,0,0,1,1
KEN,MORAA Mary,0,0,1,1
KEN,OBIRI Hellen,0,0,1,1
KGZ,SHARSHENBEKOV Zholaman,0,0,1,1
KEN,KIBIWOT Abraham,0,0,1,1
KGZ,MAKHMUDOV Akzhol,0,0,1,1
KOR,KIM Jisu,0,0,1,1
KOR,HAN Juyeop,0,0,1,1
KOR,JEON Jihee,0,0,1,1
KOR,KIM Won Jin,0,0,1,1
KOR,IM Aeji,0,0,1,1
KOR,JUNG Yerin,0,0,1,1
KGZ,TYNYBEKOVA Aisuluu,0,0,1,1
KOR,AN Baul,0,0,1,1
KOR,YOON Hyunji,0,0,1,1
KOR,LEE Dabin,0,0,1,1
KOR,LEE Hyekyeong,0,0,1,1
KOR,KIM Woomin,0,0,1,1
KOR,LEE Eunhye,0,0,1,1
KOR,SEONG Seungmin,0,0,1,1
KOR,LIM Jonghoon,0,0,1,1
LTU,VINGELIS Sarunas,0,0,1,1
LTU,PUKELIS Aurelijus,0,0,1,1
MAR,AKHOMACH Ilias,0,0,1,1
LTU,MATULIS Gintautas,0,0,1,1
LTU,SENKUTE Viktorija,0,0,1,1
KOS,FAZLIU Laura,0,0,1,1
LTU,DZIAUGYS Evaldas,0,0,1,1
MAR,BEN SEGHIR Eliesse,0,0,1,1
MAR,EL OUAHDI Zakaria,0,0,1,1
MAR,EZZALZOULI Abde,0,0,1,1
MAR,EL KAJOUI Munir,0,0,1,1
MAR,GHANIMI Rachid,0,0,1,1
MAR,BOUCHOUARI Benjamin,0,0,1,1
MAR,BOUKAMIR Mehdi,0,0,1,1
MAR,EL AZZOUZI Oussama,0,0,1,1
MAR,EL KHANNOUSS Bilal,0,0,1,1
MAR,KECHTA Yassine,0,0,1,1
MAR,HAKIMI Achraf,0,0,1,1
MAR,RICHARDSON Amir,0,0,1,1
MAR,MANAOUT Haytam,0,0,1,1
MAR,NAKACH Akram,0,0,1,1
MAR,MAOUHOUB Mehdi,0,0,1,1
MAR,RAHIMI Soufiane,0,0,1,1
MDA,VIERU Denis,0,0,1,1
MDA,OSMANOV Adil,0,0,1,1
MAS,CHIA Aaron,0,0,1,1
MAR,TAHIF Adil,0,0,1,1
MAR,TARGHALLINE Oussama,0,0,1,1
MDA,TARNOVSCHI Serghei,0,0,1,1
MAS,SOH Wooi Yik,0,0,1,1
MAS,LEE Zii Jia,0,0,1,1
NED,AARTS Laura,0,0,1,1
MEX,VALENCIA Alejandra,0,0,1,1
NED,de BROUWER Bregje,0,0,1,1
MEX,VAZQUEZ Ana,0,0,1,1
MEX,RUIZ Angela,0,0,1,1
NED,CORBEAU Caspar,0,0,1,1
NED,BUIS Sarah,0,0,1,1
NED,ROGGE Lieke,0,0,1,1
NED,MOOLHUIJZEN Lola,0,0,1,1
NED,SCHOUTEN Tes,0,0,1,1
NED,de BROUWER Noortje,0,0,1,1
NED,KEUNING Maartje,0,0,1,1
NED,ROGGE Bente,0,0,1,1
NED,LAMMERTS Annelous,0,0,1,1
NED,JOUSTRA Kittylynn,0,0,1,1
